Date	,	Inflows  (m3/s)	,	Inflows Tributary (m3/s)	,	Inflows Tributary (m3/s)
12/12/23 10:00	,	230	,	50	,	10
12/12/23 11:00	,	230	,	50	,	10
12/12/23 12:00	,	230	,	50	,	10
12/12/23 13:00	,	230	,	50	,	10
12/12/23 14:00	,	230	,	50	,	10
12/12/23 15:00	,	230	,	50	,	10
12/12/23 16:00	,	200	,	50	,	10
12/12/23 17:00	,	220	,	50	,	10
12/12/23 18:00	,	220	,	50	,	10
12/12/23 19:00	,	218.347279	,	50	,	10
12/12/23 20:00	,	220	,	50	,	10
12/12/23 21:00	,	222.7002693	,	50	,	10
12/12/23 22:00	,	220.7848256	,	50	,	10
12/12/23 23:00	,	220.8584989	,	62.12751354	,	10
12/13/23 0:00	,	221	,	60.82010731	,	10
12/13/23 1:00	,	215	,	60	,	10
12/13/23 2:00	,	215	,	60	,	10
12/13/23 3:00	,	215	,	60	,	10
12/13/23 4:00	,	215	,	60	,	10
12/13/23 5:00	,	215	,	60	,	10
12/13/23 6:00	,	200	,	60	,	10
12/13/23 7:00	,	200	,	60	,	10
12/13/23 8:00	,	200	,	60	,	10
12/13/23 9:00	,	220	,	70	,	10
12/13/23 10:00	,	220	,	70	,	10
12/13/23 11:00	,	220	,	70	,	10
12/13/23 12:00	,	250	,	70	,	10
12/13/23 13:00	,	250	,	90	,	10
12/13/23 14:00	,	300	,	90	,	30
12/13/23 15:00	,	297.8769105	,	120.4399099	,	30
12/13/23 16:00	,	330	,	130	,	30
12/13/23 17:00	,	330	,	180	,	30
12/13/23 18:00	,	330	,	249.696087	,	30
12/13/23 19:00	,	350	,	297.9360103	,	30
12/13/23 20:00	,	350	,	343.0226436	,	30
12/13/23 21:00	,	350	,	360	,	30
12/13/23 22:00	,	350	,	382.4753986	,	30
12/13/23 23:00	,	350	,	389.5899521	,	30
12/14/23 0:00	,	350	,	409.7445857	,	40
12/14/23 1:00	,	350	,	520	,	40
12/14/23 2:00	,	350	,	524.8588919	,	60
12/14/23 3:00	,	350	,	550	,	60
12/14/23 4:00	,	350	,	600	,	100
12/14/23 5:00	,	350	,	600	,	100
12/14/23 6:00	,	350	,	750	,	100
12/14/23 7:00	,	350	,	750	,	100
12/14/23 8:00	,	350	,	750	,	100
12/14/23 9:00	,	500	,	735.2910709	,	100
12/14/23 10:00	,	500	,	767.6920746	,	80
12/14/23 11:00	,	550	,	755.5969146	,	80
12/14/23 12:00	,	550	,	755.849055	,	80
12/14/23 13:00	,	550	,	810.1565849	,	80
12/14/23 14:00	,	550	,	977.3195614	,	100
12/14/23 15:00	,	550	,	1001.299559	,	100
12/14/23 16:00	,	550	,	1150	,	100
12/14/23 17:00	,	550	,	1200	,	100
12/14/23 18:00	,	600	,	1250.790071	,	123.5342131
12/14/23 19:00	,	700	,	1218.183367	,	124.454463
12/14/23 20:00	,	700	,	1150.985166	,	100
