Date,VauDejes_temp,VauDejes_rain,VauDejes_humi,Koman_temp,Koman_rain,Koman_humi,Puke_temp,Puke_rain,Puke_humi,Dragobi_temp,Dragobi_rain,Dragobi_humi,Theth_temp,Theth_rain,Theth_humi,Kukes_temp,Kukes_rain,Kukes_humi,Okshtun_temp,Okshtun_rain,Okshtun_humi,Fierze_temp,Fierze_rain,Fierze_humi,Zogaj_temp,Zogaj_rain,Zogaj_humi,Peshkopi_temp,Peshkopi_rain,Peshkopi_humi,Inflows,InflowsTributary,InflowsTributary2
2024-03-31,20.555555555555557,0.0,41.666666666666664,20.966666666666665,0.0,22.77777777777778,20.544444444444444,0.0,20.88888888888889,15.722222222222221,0.0,27.555555555555557,19.477777777777778,0.0,53.55555555555556,20.555555555555557,0.0,33.77777777777778,15.344444444444443,0.0,40.55555555555556,21.633333333333333,0.0,28.77777777777778,18.87777777777778,0.0,48.111111111111114,21.27777777777778,0.0,23.0,230.0,80.0,10.0
2024-04-01,20.508333333333333,0.0,46.291666666666664,20.775000000000002,0.0,27.875,18.579166666666666,0.0,27.291666666666668,15.629166666666668,0.0,32.875,19.470833333333335,0.0,37.5,20.508333333333333,0.0,34.833333333333336,15.275,0.0,41.5,20.245833333333334,0.0,29.375,18.154166666666665,0.0,54.25,20.695833333333333,0.0,29.416666666666668,230.0,80.0,10.0
2024-04-02,15.733333333333334,0.0375,64.79166666666667,16.041666666666668,0.07916666666666668,48.625,14.370833333333332,0.0375,41.208333333333336,10.75,0.24583333333333332,59.5,16.316666666666666,0.029166666666666664,63.0,15.733333333333334,0.08333333333333333,65.20833333333333,10.854166666666666,0.06666666666666667,69.70833333333333,15.950000000000001,0.05000000000000001,43.125,16.133333333333333,0.020833333333333332,67.16666666666667,16.0125,0.05833333333333334,51.208333333333336,225.0,79.88263002125,10.0
2024-04-03,14.658333333333333,0.0,63.875,13.679166666666667,0.0,39.083333333333336,11.35,0.0,42.166666666666664,9.737499999999999,0.0,41.875,13.191666666666665,0.004166666666666667,66.79166666666667,14.658333333333333,0.0,56.833333333333336,9.8125,0.0,54.5,13.404166666666667,0.0,42.583333333333336,13.633333333333333,0.0,70.66666666666667,13.916666666666666,0.0,43.416666666666664,200.0,76.23417813569445,9.932492558027777
2024-04-04,15.158333333333333,0.0,67.41666666666667,15.216666666666667,0.0,49.125,11.866666666666667,0.0,49.0,10.887500000000001,0.0,54.083333333333336,13.391666666666666,0.0,66.83333333333333,15.158333333333333,0.0,62.0,10.345833333333333,0.0,57.125,14.487499999999999,0.0,43.5,14.241666666666667,0.0,68.66666666666667,15.299999999999999,0.0,51.791666666666664,199.8119436899821,73.83141104120172,9.275220292410546
2024-04-05,16.3125,0.0,73.375,16.591666666666665,0.0,63.833333333333336,13.433333333333332,0.0,53.833333333333336,12.920833333333334,0.0,61.625,14.020833333333334,0.0,75.0,16.3125,0.0,63.958333333333336,11.558333333333332,0.0,60.25,15.979166666666666,0.0,50.583333333333336,14.708333333333334,0.0,82.54166666666667,16.633333333333333,0.0,56.333333333333336,194.47905413309732,87.48797257741292,9.941155850887299
2024-04-06,17.900000000000002,0.0,75.375,18.583333333333332,0.0,51.375,14.9625,0.0,49.0,15.045833333333334,0.0,53.416666666666664,14.525,0.0,73.95833333333333,17.900000000000002,0.0,65.0,13.9125,0.0,58.083333333333336,17.204166666666666,0.0,51.041666666666664,15.645833333333334,0.0,83.625,18.354166666666668,0.0,54.583333333333336,185.49893697102866,98.53612073262532,12.414596478144327
2024-04-07,21.054166666666667,0.0,73.33333333333333,20.766666666666666,0.0,45.833333333333336,16.691666666666666,0.0,53.083333333333336,17.504166666666666,0.0,47.041666666666664,15.654166666666667,0.0,78.04166666666667,21.054166666666667,0.0,57.75,17.016666666666666,0.0,45.708333333333336,19.1875,0.0,52.291666666666664,17.474999999999998,0.0,80.54166666666667,20.254166666666666,0.0,54.0,173.11237589518228,102.8078343073527,14.153684258460999
2024-04-08,22.733333333333334,0.0,66.75,20.791666666666668,0.0,56.75,17.291666666666668,0.0,56.0,17.333333333333332,0.0,54.0,17.329166666666666,0.0,72.0,22.733333333333334,0.0,49.708333333333336,17.191666666666666,0.0,48.625,19.320833333333333,0.0,58.333333333333336,18.325,0.0,77.20833333333333,20.5625,0.0,55.166666666666664,166.05814679463705,107.3514289855957,23.482277989387512
2024-04-09,20.204166666666666,0.0,73.08333333333333,19.020833333333332,0.0,55.708333333333336,17.587500000000002,0.0,66.125,16.220833333333335,0.0,57.791666666666664,17.866666666666667,0.0,64.25,20.204166666666666,0.0,60.416666666666664,16.275,0.0,56.791666666666664,19.629166666666666,0.0,53.916666666666664,17.912499999999998,0.0,73.54166666666667,19.841666666666665,0.0,56.916666666666664,158.9016253153483,116.48714447021484,26.84186665217082
2024-04-10,19.373333333333335,0.0,74.0,17.506666666666668,0.0,43.13333333333333,15.153333333333334,0.0,66.26666666666667,14.92,0.0,47.8,16.613333333333333,0.0,65.6,19.373333333333335,0.0,50.733333333333334,15.26,0.0,51.6,17.78666666666667,0.0,48.13333333333333,16.633333333333333,0.0,74.0,18.913333333333334,0.0,49.46666666666667,153.55677490234376,125.82660420735677,21.541311009724936
